customer_id,name,email,city,country
1,Customer1,user1@mail.com,Delhi,India
2,Customer2,user2@mail.com,Delhi,India
3,Customer3,user3@mail.com,Delhi,India
4,Customer4,user4@mail.com,Hyderabad,India
5,Customer5,user5@mail.com,Hyderabad,India
6,Customer6,user6@mail.com,Bangalore,India
7,Customer7,user7@mail.com,Hyderabad,India
8,Customer8,user8@mail.com,Bangalore,India
9,Customer9,user9@mail.com,Hyderabad,India
10,Customer10,user10@mail.com,Mumbai,India
11,Customer11,user11@mail.com,Bangalore,India
12,Customer12,user12@mail.com,Hyderabad,India
13,Customer13,user13@mail.com,Mumbai,India
14,Customer14,user14@mail.com,Hyderabad,India
15,Customer15,user15@mail.com,Chennai,India
16,Customer16,user16@mail.com,Chennai,India
17,Customer17,user17@mail.com,Mumbai,India
18,Customer18,user18@mail.com,Delhi,India
19,Customer19,user19@mail.com,Delhi,India
20,Customer20,user20@mail.com,Chennai,India
21,Customer21,user21@mail.com,Chennai,India
22,Customer22,user22@mail.com,Delhi,India
23,Customer23,user23@mail.com,Bangalore,India
24,Customer24,user24@mail.com,Delhi,India
25,Customer25,user25@mail.com,Hyderabad,India
26,Customer26,user26@mail.com,Bangalore,India
27,Customer27,user27@mail.com,Hyderabad,India
28,Customer28,user28@mail.com,Chennai,India
29,Customer29,user29@mail.com,Bangalore,India
30,Customer30,user30@mail.com,Hyderabad,India
31,Customer31,user31@mail.com,Hyderabad,India
32,Customer32,user32@mail.com,Bangalore,India
33,Customer33,user33@mail.com,Mumbai,India
34,Customer34,user34@mail.com,Delhi,India
35,Customer35,user35@mail.com,Hyderabad,India
36,Customer36,user36@mail.com,Delhi,India
37,Customer37,user37@mail.com,Delhi,India
38,Customer38,user38@mail.com,Chennai,India
39,Customer39,user39@mail.com,Delhi,India
40,Customer40,user40@mail.com,Hyderabad,India
41,Customer41,user41@mail.com,Chennai,India
42,Customer42,user42@mail.com,Bangalore,India
43,Customer43,user43@mail.com,Hyderabad,India
44,Customer44,user44@mail.com,Chennai,India
